# t,u,y
0.029987,10.000000,0.000000
0.059987,10.000000,0.000000
0.090000,10.000000,0.065918
0.120008,10.000000,0.263672
0.150017,10.000000,0.659180
0.180026,10.000000,1.450195
0.210035,10.000000,2.900391
0.240041,10.000000,4.812012
0.270043,10.000000,7.119141
0.300050,10.000000,10.019531
0.330061,10.000000,12.985840
0.360069,10.000000,16.083984
0.390076,10.000000,19.050293
0.418057,10.000000,21.950684
0.453016,10.000000,24.125977
0.453030,10.000000,22.807617
0.661561,10.000000,20.434570
0.691565,10.000000,17.929688
0.721573,10.000000,15.292969
0.751574,10.000000,12.722168
0.781578,10.000000,10.546875
0.811594,10.000000,8.833008
0.841607,10.000000,7.712402
0.871617,10.000000,7.250977
0.901629,10.000000,7.514648
0.923585,10.000000,9.030762
0.975694,10.000000,10.876465
1.005703,10.000000,13.051758
1.035714,10.000000,15.556641
1.065721,10.000000,18.061523
1.095732,10.000000,20.368652
1.125745,10.000000,22.478027
1.155758,10.000000,23.994141
1.185761,10.000000,25.048828
1.215768,10.000000,25.312500
1.245777,10.000000,25.048828
1.275778,10.000000,24.060059
1.305780,10.000000,22.675781
1.335792,10.000000,20.698242
1.365795,10.000000,18.522949
1.395801,10.000000,16.215820
1.425442,10.000000,11.997070
1.483515,10.000000,10.415039
1.513519,10.000000,9.228516
1.543525,10.000000,8.701172
1.573525,10.000000,8.569336
1.603531,10.000000,9.294434
1.633538,10.000000,10.349121
1.663542,10.000000,11.997070
1.693549,10.000000,13.974609
1.723561,10.000000,16.083984
1.753567,10.000000,18.193359
1.783578,10.000000,20.170898
1.813582,10.000000,21.884766
1.843615,10.000000,23.071289
1.873628,10.000000,23.796387
1.903642,10.000000,24.060059
1.933654,10.000000,23.730469
1.963662,10.000000,22.939453
1.993674,10.000000,21.621094
2.023673,10.000000,19.907227
2.053680,10.000000,17.995605
2.083691,10.000000,16.083984
2.113702,10.000000,14.106445
2.143707,10.000000,12.458496
2.173712,10.000000,11.206055
2.203716,10.000000,10.283203
2.233727,10.000000,9.887695
2.263740,10.000000,10.085449
2.293749,10.000000,10.678711
2.323758,10.000000,11.865234
2.353759,10.000000,13.249512
2.383772,10.000000,14.897461
2.413783,10.000000,16.743164
2.442478,10.000000,19.841309
2.497145,10.000000,21.225586
2.527168,10.000000,22.214355
2.557173,10.000000,22.807617
2.587172,10.000000,22.939453
2.617166,10.000000,22.543945
2.647186,10.000000,21.752930
2.677188,10.000000,20.632324
